Track name, Artist name, Album, Playlist name, Type
Bad Omens - Limits,,,Liked videos,Favorite
Bad Omens - Dethrone,,,Liked videos,Favorite
Bad Omens - Kingdom of Cards,,,Liked videos,Favorite
The Amity Affliction - Pittsburgh (No Intro),,,Liked videos,Favorite
Royal Blood - How Did We Get So Dark?,,,Liked videos,Favorite
Bad Omens - Careful What You Wish For,,,Liked videos,Favorite
Ghostemane · Parv0 - I duckinf hatw you,,,Liked videos,Favorite
SHVPES - Hot Head,,,Liked videos,Favorite
Anti-Flag - Hate Conquers All,,,Liked videos,Favorite
Anti-Flag - The Disease,,,Liked videos,Favorite
The Browning - Pure Evil,,,Liked videos,Favorite
Fight The Fade - Over & Over,,,Liked videos,Favorite
Erra - Hyperreality,,,Liked videos,Favorite
Theory Of A Deadman - World Keeps Spinning,,,Liked videos,Favorite
OOMPH! · CRAP · DERO GOI · ROBERT FLUX - TRRR - FCKN - HTLR,,,Liked videos,Favorite
While She Sleeps - Brainwashed,,,Liked videos,Favorite
He Is Legend - White Bat,,,Liked videos,Favorite
"Invent, Animate - Dark",,,Liked videos,Favorite
Bring Me The Horizon - Throne,,,Liked videos,Favorite
Bring Me The Horizon · Dani Filth - wonderful life,,,Liked videos,Favorite
Bad Omens - Mercy,,,Liked videos,Favorite
Call Me Karizma - Monster (Under My Bed),,,Liked videos,Favorite
Silverstein - Where Are You,,,Liked videos,Favorite
Bad Omens - Never Know,,,Liked videos,Favorite
Slipknot - The Devil in I,,,Liked videos,Favorite
Bad Omens - The Worst In Me,,,Liked videos,Favorite
FEVER 333 - PRESENCE IS STRENGTH,,,Liked videos,Favorite
PVRIS - Dead Weight,,,Liked videos,Favorite
Fit For A King - Breaking the Mirror,,,Liked videos,Favorite
After The Burial - Behold The Crown,,,Liked videos,Favorite
My Epic - Two Nights,,,Liked videos,Favorite
Volumes - Feels Good,,,Liked videos,Favorite
I See Stars - Ten Thousand Feet,,,Liked videos,Favorite
Oceans Ate Alaska - Hansha,,,Liked videos,Favorite
The Devil Wears Prada - Numb,,,Liked videos,Favorite
Dvsr - Detox,,,Liked videos,Favorite
"Our Hollow, Our Home - Loneshark",,,Liked videos,Favorite
Attila - Toxic,,,Liked videos,Favorite
Mark Morton · Chester Bennington - Cross Off,,,Liked videos,Favorite
Port Sulphur Band - Rise up Dead Man,,,Liked videos,Favorite
Make Them Suffer - Erase Me,,,Liked videos,Favorite
Fit For A King - Skin & Bones,,,Liked videos,Favorite
Make Them Suffer - Save Yourself,,,Liked videos,Favorite
Dropout Kings - GlitchGang,,,Liked videos,Favorite
Dropout Kings · Nick Sampson · Rob Sebastian · Staig Flynn · Trevor Norgren · Chucky Guzman · Adam Ramey · William Lauderdale# - Going Rogue,,,Liked videos,Favorite
Dropout Kings - Bad Day,,,Liked videos,Favorite
Dropout Kings · Nick Sampson · Rob Sebastian · Staig Flynn · Trevor Norgren · Chucky Guzman · Adam Ramey · William Lauderdale# - Scratch & Claw,,,Liked videos,Favorite
Dropout Kings · Nick Sampson · Rob Sebastian · Staig Flynn · Trevor Norgren · Chucky Guzman · Adam Ramey · William Lauderdale# - Nvm,,,Liked videos,Favorite
Dropout Kings - Something Awful,,,Liked videos,Favorite
Dropout Kings - Street Sharks,,,Liked videos,Favorite
